,hotel_name,rating,count
0,"Marriott Vacation Club Pulse at Custom House, Boston",Excellent,509
1,"Marriott Vacation Club Pulse at Custom House, Boston",Very good,175
2,"Marriott Vacation Club Pulse at Custom House, Boston",Average,13
3,"Marriott Vacation Club Pulse at Custom House, Boston",Poor,13
4,"Marriott Vacation Club Pulse at Custom House, Boston",Terrible,12
5,Boston Harbor Hotel,Excellent,"1,281"
6,Boston Harbor Hotel,Very good,230
7,Boston Harbor Hotel,Average,55
8,Boston Harbor Hotel,Poor,20
9,Boston Harbor Hotel,Terrible,16
10,Seaport Boston Hotel,Excellent,"3,084"
11,Seaport Boston Hotel,Very good,733
12,Seaport Boston Hotel,Average,132
13,Seaport Boston Hotel,Poor,50
14,Seaport Boston Hotel,Terrible,37
15,Four Seasons Hotel Boston,Excellent,"1,136"
16,Four Seasons Hotel Boston,Very good,197
17,Four Seasons Hotel Boston,Average,53
18,Four Seasons Hotel Boston,Poor,27
19,Four Seasons Hotel Boston,Terrible,17
20,Lenox Hotel,Excellent,"2,188"
21,Lenox Hotel,Very good,551
22,Lenox Hotel,Average,120
23,Lenox Hotel,Poor,45
24,Lenox Hotel,Terrible,20
25,Courtyard Boston Copley Square,Excellent,"1,058"
26,Courtyard Boston Copley Square,Very good,376
27,Courtyard Boston Copley Square,Average,62
28,Courtyard Boston Copley Square,Poor,16
29,Courtyard Boston Copley Square,Terrible,15
30,InterContinental Boston,Excellent,"2,121"
31,InterContinental Boston,Very good,712
32,InterContinental Boston,Average,174
33,InterContinental Boston,Poor,69
34,InterContinental Boston,Terrible,61
35,Hotel Commonwealth,Excellent,"3,116"
36,Hotel Commonwealth,Very good,575
37,Hotel Commonwealth,Average,127
38,Hotel Commonwealth,Poor,50
39,Hotel Commonwealth,Terrible,22
40,"Mandarin Oriental, Boston",Excellent,435
41,"Mandarin Oriental, Boston",Very good,82
42,"Mandarin Oriental, Boston",Average,34
43,"Mandarin Oriental, Boston",Poor,9
44,"Mandarin Oriental, Boston",Terrible,8
45,Residence Inn Boston Back Bay/Fenway,Excellent,888
46,Residence Inn Boston Back Bay/Fenway,Very good,288
47,Residence Inn Boston Back Bay/Fenway,Average,55
48,Residence Inn Boston Back Bay/Fenway,Poor,15
49,Residence Inn Boston Back Bay/Fenway,Terrible,7
50,Eliot Hotel,Excellent,672
51,Eliot Hotel,Very good,254
52,Eliot Hotel,Average,71
53,Eliot Hotel,Poor,36
54,Eliot Hotel,Terrible,24
55,XV Beacon,Excellent,762
56,XV Beacon,Very good,169
57,XV Beacon,Average,37
58,XV Beacon,Poor,30
59,XV Beacon,Terrible,14
60,Residence Inn Boston Downtown/Seaport,Excellent,279
61,Residence Inn Boston Downtown/Seaport,Very good,99
62,Residence Inn Boston Downtown/Seaport,Average,13
63,Residence Inn Boston Downtown/Seaport,Poor,9
64,Residence Inn Boston Downtown/Seaport,Terrible,3
65,Kimpton Nine Zero Hotel,Excellent,"1,493"
66,Kimpton Nine Zero Hotel,Very good,587
67,Kimpton Nine Zero Hotel,Average,127
68,Kimpton Nine Zero Hotel,Poor,32
69,Kimpton Nine Zero Hotel,Terrible,27
70,Hilton Garden Inn Boston Logan Airport,Excellent,476
71,Hilton Garden Inn Boston Logan Airport,Very good,122
72,Hilton Garden Inn Boston Logan Airport,Average,24
73,Hilton Garden Inn Boston Logan Airport,Poor,8
74,Hilton Garden Inn Boston Logan Airport,Terrible,2
75,The Verb Hotel,Excellent,926
76,The Verb Hotel,Very good,321
77,The Verb Hotel,Average,74
78,The Verb Hotel,Poor,20
79,The Verb Hotel,Terrible,14
80,The Godfrey Hotel Boston,Excellent,981
81,The Godfrey Hotel Boston,Very good,321
82,The Godfrey Hotel Boston,Average,93
83,The Godfrey Hotel Boston,Poor,34
84,The Godfrey Hotel Boston,Terrible,12
85,enVision Hotel Boston - Longwood,Excellent,358
86,enVision Hotel Boston - Longwood,Very good,139
87,enVision Hotel Boston - Longwood,Average,33
88,enVision Hotel Boston - Longwood,Poor,9
89,enVision Hotel Boston - Longwood,Terrible,2
90,"The Langham, Boston",Excellent,"1,133"
91,"The Langham, Boston",Very good,490
92,"The Langham, Boston",Average,142
93,"The Langham, Boston",Poor,50
94,"The Langham, Boston",Terrible,34
95,Loews Boston Hotel,Excellent,781
96,Loews Boston Hotel,Very good,348
97,Loews Boston Hotel,Average,86
98,Loews Boston Hotel,Poor,22
99,Loews Boston Hotel,Terrible,8
100,The Boxer Boston,Excellent,499
101,The Boxer Boston,Very good,238
102,The Boxer Boston,Average,63
103,The Boxer Boston,Poor,16
104,The Boxer Boston,Terrible,10
105,Colonnade Hotel,Excellent,"1,742"
106,Colonnade Hotel,Very good,643
107,Colonnade Hotel,Average,196
108,Colonnade Hotel,Poor,74
109,Colonnade Hotel,Terrible,54
110,Residence Inn Boston Harbor on Tudor Wharf,Excellent,425
111,Residence Inn Boston Harbor on Tudor Wharf,Very good,257
112,Residence Inn Boston Harbor on Tudor Wharf,Average,60
113,Residence Inn Boston Harbor on Tudor Wharf,Poor,17
114,Residence Inn Boston Harbor on Tudor Wharf,Terrible,6
115,"Fairmont Copley Plaza, Boston",Excellent,"1,481"
116,"Fairmont Copley Plaza, Boston",Very good,582
117,"Fairmont Copley Plaza, Boston",Average,222
118,"Fairmont Copley Plaza, Boston",Poor,96
119,"Fairmont Copley Plaza, Boston",Terrible,43
120,Copley Square Hotel,Excellent,768
121,Copley Square Hotel,Very good,475
122,Copley Square Hotel,Average,131
123,Copley Square Hotel,Poor,38
124,Copley Square Hotel,Terrible,21
125,W Boston,Excellent,762
126,W Boston,Very good,357
127,W Boston,Average,149
128,W Boston,Poor,68
129,W Boston,Terrible,38
130,The Bostonian Boston,Excellent,640
131,The Bostonian Boston,Very good,474
132,The Bostonian Boston,Average,146
133,The Bostonian Boston,Poor,60
134,The Bostonian Boston,Terrible,38
135,Taj Boston,Excellent,994
136,Taj Boston,Very good,541
137,Taj Boston,Average,218
138,Taj Boston,Poor,111
139,Taj Boston,Terrible,60
140,"The Westin Copley Place, Boston",Excellent,"1,629"
141,"The Westin Copley Place, Boston",Very good,"1,053"
142,"The Westin Copley Place, Boston",Average,368
143,"The Westin Copley Place, Boston",Poor,123
144,"The Westin Copley Place, Boston",Terrible,53
145,Newbury Guest House,Excellent,218
146,Newbury Guest House,Very good,194
147,Newbury Guest House,Average,50
148,Newbury Guest House,Poor,20
149,Newbury Guest House,Terrible,16
150,"The Ritz-Carlton, Boston",Excellent,353
151,"The Ritz-Carlton, Boston",Very good,117
