,hotel_name,rating,count
0,"Marriott Vacation Club Pulse at Custom House, Boston",Excellent,507
1,"Marriott Vacation Club Pulse at Custom House, Boston",Very good,175
2,"Marriott Vacation Club Pulse at Custom House, Boston",Average,13
3,"Marriott Vacation Club Pulse at Custom House, Boston",Poor,13
4,"Marriott Vacation Club Pulse at Custom House, Boston",Terrible,12
5,Boston Harbor Hotel,Excellent,507
6,Boston Harbor Hotel,Very good,175
7,Boston Harbor Hotel,Average,13
8,Boston Harbor Hotel,Poor,13
9,Boston Harbor Hotel,Terrible,12
10,Seaport Boston Hotel,Excellent,507
11,Seaport Boston Hotel,Very good,175
12,Seaport Boston Hotel,Average,13
13,Seaport Boston Hotel,Poor,13
14,Seaport Boston Hotel,Terrible,12
15,Four Seasons Hotel Boston,Excellent,507
16,Four Seasons Hotel Boston,Very good,175
17,Four Seasons Hotel Boston,Average,13
18,Four Seasons Hotel Boston,Poor,13
19,Four Seasons Hotel Boston,Terrible,12
20,Lenox Hotel,Excellent,507
21,Lenox Hotel,Very good,175
22,Lenox Hotel,Average,13
23,Lenox Hotel,Poor,13
24,Lenox Hotel,Terrible,12
25,Courtyard Boston Copley Square,Excellent,507
26,Courtyard Boston Copley Square,Very good,175
27,Courtyard Boston Copley Square,Average,13
28,Courtyard Boston Copley Square,Poor,13
29,Courtyard Boston Copley Square,Terrible,12
30,InterContinental Boston,Excellent,507
31,InterContinental Boston,Very good,175
32,InterContinental Boston,Average,13
33,InterContinental Boston,Poor,13
34,InterContinental Boston,Terrible,12
35,Hotel Commonwealth,Excellent,507
36,Hotel Commonwealth,Very good,175
37,Hotel Commonwealth,Average,13
38,Hotel Commonwealth,Poor,13
39,Hotel Commonwealth,Terrible,12
40,"Mandarin Oriental, Boston",Excellent,507
41,"Mandarin Oriental, Boston",Very good,175
42,"Mandarin Oriental, Boston",Average,13
43,"Mandarin Oriental, Boston",Poor,13
44,"Mandarin Oriental, Boston",Terrible,12
45,Residence Inn Boston Back Bay/Fenway,Excellent,507
46,Residence Inn Boston Back Bay/Fenway,Very good,175
47,Residence Inn Boston Back Bay/Fenway,Average,13
48,Residence Inn Boston Back Bay/Fenway,Poor,13
49,Residence Inn Boston Back Bay/Fenway,Terrible,12
50,Eliot Hotel,Excellent,507
51,Eliot Hotel,Very good,175
52,Eliot Hotel,Average,13
53,Eliot Hotel,Poor,13
54,Eliot Hotel,Terrible,12
55,XV Beacon,Excellent,507
56,XV Beacon,Very good,175
57,XV Beacon,Average,13
58,XV Beacon,Poor,13
59,XV Beacon,Terrible,12
60,Residence Inn Boston Downtown/Seaport,Excellent,507
61,Residence Inn Boston Downtown/Seaport,Very good,175
62,Residence Inn Boston Downtown/Seaport,Average,13
63,Residence Inn Boston Downtown/Seaport,Poor,13
64,Residence Inn Boston Downtown/Seaport,Terrible,12
65,Kimpton Nine Zero Hotel,Excellent,507
66,Kimpton Nine Zero Hotel,Very good,175
67,Kimpton Nine Zero Hotel,Average,13
68,Kimpton Nine Zero Hotel,Poor,13
69,Kimpton Nine Zero Hotel,Terrible,12
70,Hilton Garden Inn Boston Logan Airport,Excellent,507
71,Hilton Garden Inn Boston Logan Airport,Very good,175
72,Hilton Garden Inn Boston Logan Airport,Average,13
73,Hilton Garden Inn Boston Logan Airport,Poor,13
74,Hilton Garden Inn Boston Logan Airport,Terrible,12
75,The Verb Hotel,Excellent,507
76,The Verb Hotel,Very good,175
77,The Verb Hotel,Average,13
78,The Verb Hotel,Poor,13
79,The Verb Hotel,Terrible,12
80,The Godfrey Hotel Boston,Excellent,507
81,The Godfrey Hotel Boston,Very good,175
82,The Godfrey Hotel Boston,Average,13
