hotel_name,review_id,value_star,location_star,cleanliness_star,service_star,rooms_star,sleep_quality,star_rating
Boston Marriott Copley Place,review_154889534,4,5,4,4,3,,4
"The Langham, Boston",review_329613741,5,,,5,,5,5
Eliot Hotel,review_303652831,3,,5,5,,,4
Colonnade Hotel,review_209441516,5,5,5,5,5,5,5
Hotel Commonwealth,review_115986887,5,5,5,5,5,,5
"Fairmont Copley Plaza, Boston",review_4471849,,,,,,,5
Seaport Boston Hotel,review_418542107,5,5,5,5,5,5,5
InterContinental Boston,review_236529019,5,,,5,,5,5
Hotel Commonwealth,review_156265247,5,5,5,5,5,5,5
Seaport Boston Hotel,review_173095700,4,4,5,5,5,,5
Courtyard Boston Copley Square,review_128426920,4,3,4,4,4,4,4
W Boston,review_224409350,,,5,5,5,,5
Residence Inn Boston Harbor on Tudor Wharf,review_133870902,5,4,5,5,5,,5
Kimpton Nine Zero Hotel,review_365812089,5,,,5,,5,5
The Verb Hotel,review_367544826,,,,,,,3
Boston Marriott Copley Place,review_136399957,4,4,5,5,5,,5
Renaissance Boston Waterfront Hotel,review_330038483,,,,,,,5
Revere Hotel Boston Common,review_349933405,3,5,3,5,3,5,4
The Midtown Hotel,review_164024676,3,3,4,3,4,4,3
The Inn At St Botolph,review_124321438,4,5,5,5,5,5,5
Residence Inn Boston Harbor on Tudor Wharf,review_369400559,,,,,,,5
Omni Parker House,review_243154327,4,5,5,5,4,4,4
Boston Hotel Buckminster,review_401190568,,,,,,,3
Newbury Guest House,review_149032011,5,5,5,4,5,5,5
Embassy Suites by Hilton Boston - at Logan Airport,review_358220941,4,4,5,5,5,4,4
Taj Boston,review_167055072,4,5,5,5,2,3,3
Embassy Suites by Hilton Boston - at Logan Airport,review_146113697,5,5,5,5,5,5,5
DoubleTree Suites by Hilton Boston-Cambridge,review_253173217,,,,5,5,5,5
"Marriott Vacation Club Pulse at Custom House, Boston",review_191258451,5,5,5,5,5,5,5
Lenox Hotel,review_313403258,,,,,,,5
Omni Parker House,review_178388411,2,5,4,4,3,1,2
Hilton Boston Back Bay,review_427255957,4,5,5,5,5,5,5
InterContinental Boston,review_35002010,,,,,,,1
W Boston,review_231856324,2,3,,2,,,2
The Inn at Longwood Medical,review_165689392,3,5,3,4,3,3,3
DoubleTree Club by Hilton Hotel Boston Bayside,review_172753013,4,5,5,5,5,5,5
Taj Boston,review_326135263,,,5,4,,4,4
Hilton Boston Logan Airport,review_383558659,,,,3,3,4,3
Omni Parker House,review_102324803,5,5,5,4,5,4,5
Hotel Commonwealth,review_274397400,5,,,5,,5,5
DoubleTree Club by Hilton Hotel Boston Bayside,review_184748775,3,4,4,4,4,3,4
Colonnade Hotel,review_291405896,,5,,5,,5,5
Lenox Hotel,review_127305783,4,5,5,4,4,3,4
The Bostonian Boston,review_20940198,3,5,4,5,5,,4
"The Westin Copley Place, Boston",review_248103743,5,5,,5,,,4
Hilton Boston Logan Airport,review_425173305,2,5,,3,,,3
Newbury Guest House,review_233836913,,5,,5,,5,5
Taj Boston,review_370446155,,5,5,5,,,5
"Fairmont Copley Plaza, Boston",review_334799834,,,,,,,3
Comfort Inn - Boston,review_296608219,5,,,5,4,,5
DoubleTree by Hilton Hotel Boston - Downtown,review_316971186,,,,5,5,5,5
Kimpton Nine Zero Hotel,review_58647154,4,5,5,5,5,5,5
"The Langham, Boston",review_145103871,5,5,5,5,5,5,5
The Godfrey Hotel Boston,review_398539507,5,5,5,5,5,5,5
Taj Boston,review_269442525,,,,,,,1
Kimpton Nine Zero Hotel,review_224210528,1,,3,3,,,3
Embassy Suites by Hilton Boston - at Logan Airport,review_257221456,5,5,5,4,5,4,4
Renaissance Boston Waterfront Hotel,review_239977799,2,3,2,2,3,2,2
BEST WESTERN PLUS Roundhouse Suites,review_180866853,4,2,5,5,5,2,4
Ramada Boston,review_419422555,,4,4,4,,,4
Omni Parker House,review_29086103,5,5,5,5,3,,5
Omni Parker House,review_331499346,,4,,4,3,,3
Sheraton Boston Hotel,review_279874353,,4,4,4,,,4
Hilton Boston Downtown / Faneuil Hall,review_304924573,3,,,5,,4,5
XV Beacon,review_182880700,,5,5,,5,,4
Hilton Boston Downtown / Faneuil Hall,review_161539788,3,5,3,4,3,4,4
Residence Inn Boston Harbor on Tudor Wharf,review_288988440,4,4,,5,,,4
Boston Marriott Long Wharf,review_144695974,5,5,5,4,3,4,5
Omni Parker House,review_216974422,4,5,4,5,4,5,5
Taj Boston,review_324342123,,,,,,,4
DoubleTree Suites by Hilton Boston-Cambridge,review_173443537,5,4,5,5,5,5,5
Club Quarters Hotel in Boston,review_287954707,,,,,,,4
Seaport Boston Hotel,review_264437869,,,5,5,5,,5
Lenox Hotel,review_366559489,,,,,,,5
Sheraton Boston Hotel,review_427097092,,,,,,,4
DoubleTree Club by Hilton Hotel Boston Bayside,review_171685161,5,4,5,5,5,5,5
"Marriott Vacation Club Pulse at Custom House, Boston",review_272794921,,5,3,4,,,4
The Verb Hotel,review_348265830,,,,5,5,5,5
Embassy Suites by Hilton Boston - at Logan Airport,review_353852189,,,,,,,5
Embassy Suites by Hilton Boston - at Logan Airport,review_124762419,5,4,5,5,4,4,5
Revere Hotel Boston Common,review_324512952,,5,,5,,5,5
Hilton Boston Back Bay,review_345193223,,,,,,,5
The Godfrey Hotel Boston,review_404604928,4,5,5,4,4,3,5
Taj Boston,review_320915045,,5,,5,4,,4
The Westin Boston Waterfront,review_174449563,4,4,5,5,5,5,4
W Boston,review_367234917,4,,5,5,,,4
DoubleTree Suites by Hilton Boston-Cambridge,review_39010339,2,3,5,3,4,,3
The Midtown Hotel,review_98402241,5,5,5,5,5,,5
"The Langham, Boston",review_85497091,4,5,4,4,4,5,4
Hilton Boston Downtown / Faneuil Hall,review_143172697,4,5,5,4,5,5,4
Seaport Boston Hotel,review_277437805,5,5,5,4,5,5,5
The Westin Boston Waterfront,review_6750152,3,2,5,5,5,,4
Residence Inn Boston Back Bay/Fenway,review_200601980,5,5,5,5,5,5,5
Seaport Boston Hotel,review_217539611,5,5,5,5,5,5,5
Residence Inn Boston Downtown/Seaport,review_364432165,,,,,,,4
Wyndham Boston Beacon Hill,review_196060596,5,5,4,4,4,4,4
InterContinental Boston,review_420215743,,,5,5,5,,5
The Westin Boston Waterfront,review_8190154,3,2,4,4,4,,5
Four Seasons Hotel Boston,review_118004995,3,,5,5,,5,4
"The Langham, Boston",review_221701551,,,,2,1,4,1
"The Westin Copley Place, Boston",review_17712541,4,4,4,3,4,,4
The Westin Boston Waterfront,review_306489753,,,,4,4,4,4
Hotel Commonwealth,review_175814392,5,5,5,5,5,5,5
"The Westin Copley Place, Boston",review_331913765,,,,,,,4
Hotel Commonwealth,review_213453398,5,5,4,5,4,5,5
Hotel Commonwealth,review_134362738,4,5,5,5,4,4,4
Kimpton Onyx Hotel,review_164011029,3,4,4,4,4,4,4
Hotel Commonwealth,review_304373093,,5,,5,,4,4
Boston Marriott Copley Place,review_127542360,,,,,,,5
"The Ritz-Carlton, Boston",review_211260079,,,,,,,5
Harborside Inn,review_242140362,,5,,4,4,,4
InterContinental Boston,review_140700779,,5,5,4,5,5,4
Hotel Commonwealth,review_3801347,5,,5,5,5,,5
Residence Inn Boston Back Bay/Fenway,review_242106052,5,5,4,4,5,,4
Boston Marriott Copley Place,review_268188178,,,5,5,5,,5
Courtyard Boston Copley Square,review_223527311,,,5,5,,5,5
Hotel Commonwealth,review_3800777,4,,4,4,4,,4
Hotel Commonwealth,review_264817670,,,,5,5,5,5
Loews Boston Hotel,review_187200577,5,5,5,5,5,,5
"Marriott Vacation Club Pulse at Custom House, Boston",review_150274945,5,5,5,5,5,5,5
The Boxer Boston,review_323048828,,,,,,,4
Hilton Boston Back Bay,review_162646542,5,5,4,5,5,5,5
Omni Parker House,review_388292783,,,,,,,5
Hilton Boston Logan Airport,review_117875989,4,,4,4,,4,4
DoubleTree Club by Hilton Hotel Boston Bayside,review_182035799,4,2,5,4,4,,5
Residence Inn Boston Back Bay/Fenway,review_269397973,5,5,4,4,4,4,5
